Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,biotic_regm,Bytes,Center Name,chem_administration,coll_site_geo_feat,Collection_Date,Consent,Cow_number,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,food_origin,food_prod_char,food_product_type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,IFSAC_Category,Instrument,intended_consumer,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,progressive,purpose_of_sampling,ReleaseDate,create_date,version,samp_mat_type,Sample Name,sampling_timepoint,SRA Study
SRR29232839,AMPLICON,329,19636542,PRJNA1103402,SAMN41053218,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,12459576,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1171,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751741,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_157_S157,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,B471F,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],157_S157,T3,SRP510782
SRR29232840,AMPLICON,326,21567986,PRJNA1103402,SAMN41053217,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,13819046,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1145,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751740,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_156_S156,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,A468M,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],156_S156,T3,SRP510782
SRR29232841,AMPLICON,387,15183463,PRJNA1103402,SAMN41053216,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,9490280,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1145,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751739,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_155_S155,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,E465L,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],155_S155,T3,SRP510782
SRR29232842,AMPLICON,445,22319253,PRJNA1103402,SAMN41053167,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,14041818,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1097,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751738,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_106_S106,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,A318I,Industry internal investigation,2024-06-17T00:00:00Z,2024-06-12T17:42:00Z,1,Milk: [UBERON:0001913],106_S106,T2,SRP510782
SRR29232843,AMPLICON,392,16851698,PRJNA1103402,SAMN41053215,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,10640597,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1137,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751737,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_154_S154,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,D462I,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],154_S154,T3,SRP510782
SRR29232844,AMPLICON,311,17486293,PRJNA1103402,SAMN41053214,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",none,11134537,NATIONAL RESEARCH COUNCIL (CNR),Commercial disinfectant,Farm: ENVO:00000078,Not available,public,1137,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751736,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_153_S153,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,C459H,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],153_S153,T3,SRP510782
SRR29232845,AMPLICON,248,23828394,PRJNA1103402,SAMN41053159,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT124 strain,15573623,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,929,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751735,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_98_S98,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,C294G,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],98_S98,T2,SRP510782
SRR29232846,AMPLICON,351,13992415,PRJNA1103402,SAMN41053158,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT123 strain,8831050,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,929,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751734,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_97_S97,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,B291F,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],97_S97,T2,SRP510782
SRR29232847,AMPLICON,480,11270460,PRJNA1103402,SAMN41053157,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT122 strain,8004463,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,925,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751733,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_96_S96,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,A288M,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],96_S96,T2,SRP510782
SRR29232848,AMPLICON,454,5353513,PRJNA1103402,SAMN41053156,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT121 strain,3557835,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,925,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751732,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_95_S95,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,E285L,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],95_S95,T2,SRP510782
SRR29232849,AMPLICON,416,26951400,PRJNA1103402,SAMN41053155,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT120 strain,17541000,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,917,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751731,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_94_S94,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,D282I,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],94_S94,T2,SRP510782
SRR29232850,AMPLICON,412,22952926,PRJNA1103402,SAMN41053154,"MIMS.me,MIGS/MIMS/MIMARKS.food-animal",Lc. cremoris FT119 strain,14870247,NATIONAL RESEARCH COUNCIL (CNR),none,Farm: ENVO:00000078,Not available,public,917,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Not applicable,Diary cow [FOODON:03411201],Mammary gland fluid/secretion: [UBERON_0006539],Animal milk: [FOODON_02010012],SRX24751730,Italy,Dairy,Cow milk [FOODON:00001257],Italy,Europe,Italy: Lombardy region,Land animals:Dairy:Fluid milk,Illumina MiSeq,not applicable,Not available,seq_93_S93,PAIRED,PCR,METAGENOMIC,milk metagenome,ILLUMINA,C279H,Industry internal investigation,2024-06-17T00:00:00Z,2024-05-30T08:33:00Z,1,Milk: [UBERON:0001913],93_S93,T2,SRP510782
